$ mistake_only_experiment.py --n_steps 50000

Device: cuda
Vocab: 65 | train tokens: 1,003,854 | val tokens: 111,540

Model config: {'vocab_size': 65, 'block_size': 128, 'n_layer': 4, 'n_head': 4, 'n_embd': 128, 'dropout': 0.1}
Train config: {'n_steps': 50000, 'batch_size': 64, 'lr': 0.0003, 'weight_decay': 0.01, 'grad_clip': 1.0, 'eval_every': 250, 'eval_batches': 20}
Noise config: {'n_steps': 500, 'noise_std': 1.0, 'log_every': 100}

======================================================================
Phase 0: Gaussian embedding-noise pretraining (std=1.0)
======================================================================
  [noise-pretrain] step     1/500 | loss 26.6190 (chance=4.174) | std=1.00 | 0.5s
  [noise-pretrain] step   100/500 | loss 4.3730 (chance=4.174) | std=1.00 | 3.2s
  [noise-pretrain] step   200/500 | loss 4.2273 (chance=4.174) | std=1.00 | 6.0s
  [noise-pretrain] step   300/500 | loss 4.2013 (chance=4.174) | std=1.00 | 8.9s
  [noise-pretrain] step   400/500 | loss 4.1983 (chance=4.174) | std=1.00 | 11.7s
  [noise-pretrain] step   500/500 | loss 4.1914 (chance=4.174) | std=1.00 | 14.5s
  done.

======================================================================
Phase 1: Baseline (standard cross-entropy)
======================================================================
[     baseline] step     1 | tr_full  4.2284 | tr_mis  4.2454 | val_ce 3.8354 | ppl  46.31 | acc 0.1124 | ece 0.0770 | H 4.078 | miss 0.977
[     baseline] step   250 | tr_full  2.5776 | tr_mis  3.0264 | val_ce 2.5627 | ppl  12.97 | acc 0.2611 | ece 0.0204 | H 2.503 | miss 0.754
[     baseline] step   500 | tr_full  2.5021 | tr_mis  3.0012 | val_ce 2.4843 | ppl  11.99 | acc 0.2742 | ece 0.0233 | H 2.412 | miss 0.732
[     baseline] step   750 | tr_full  2.4372 | tr_mis  2.9793 | val_ce 2.4237 | ppl  11.29 | acc 0.2905 | ece 0.0220 | H 2.350 | miss 0.717
[     baseline] step  1000 | tr_full  2.3630 | tr_mis  2.9435 | val_ce 2.3321 | ppl  10.30 | acc 0.3158 | ece 0.0174 | H 2.272 | miss 0.699
[     baseline] step  1250 | tr_full  2.3243 | tr_mis  2.9475 | val_ce 2.2571 | ppl   9.56 | acc 0.3376 | ece 0.0165 | H 2.217 | miss 0.680
[     baseline] step  1500 | tr_full  2.2278 | tr_mis  2.9411 | val_ce 2.2009 | ppl   9.03 | acc 0.3545 | ece 0.0283 | H 2.115 | miss 0.659
[     baseline] step  1750 | tr_full  2.1557 | tr_mis  2.9008 | val_ce 2.1415 | ppl   8.51 | acc 0.3720 | ece 0.0182 | H 2.062 | miss 0.641
[     baseline] step  2000 | tr_full  2.1269 | tr_mis  2.9236 | val_ce 2.0988 | ppl   8.16 | acc 0.3803 | ece 0.0295 | H 1.992 | miss 0.624
[     baseline] step  2250 | tr_full  2.0348 | tr_mis  2.8615 | val_ce 2.0472 | ppl   7.75 | acc 0.3932 | ece 0.0225 | H 1.970 | miss 0.608
[     baseline] step  2500 | tr_full  1.9833 | tr_mis  2.8617 | val_ce 2.0165 | ppl   7.51 | acc 0.4030 | ece 0.0472 | H 1.855 | miss 0.595
