Device: cuda
Vocab: 33277 | train tokens: 2,051,910 | val tokens: 213,886

Model config: {'vocab_size': 33277, 'block_size': 128, 'n_layer': 6, 'n_head': 4, 'n_embd': 256, 'dropout': 0.1}
Train config: {'n_steps': 50000, 'batch_size': 64, 'lr': 0.0003, 'weight_decay': 0.01, 'grad_clip': 1.0, 'eval_every': 250, 'eval_batches': 20}
Noise config: {'n_steps': 500, 'noise_std': 1.0, 'log_every': 100}

/home/dbrayjr5/miniconda3/envs/noise/lib/python3.10/site-packages/torch/cuda/__init__.py:1061: UserWarning: Can't initialize NVML
  raw_cnt = _raw_device_count_nvml()
======================================================================
Phase 0: Gaussian embedding-noise pretraining (std=1.0)
======================================================================
  [noise-pretrain] step     1/500 | loss 66.3001 (chance=10.413) | std=1.00 | 0.7s
  [noise-pretrain] step   100/500 | loss 32.9704 (chance=10.413) | std=1.00 | 23.3s
  [noise-pretrain] step   200/500 | loss 24.2870 (chance=10.413) | std=1.00 | 47.7s
  [noise-pretrain] step   300/500 | loss 18.3145 (chance=10.413) | std=1.00 | 73.6s
  [noise-pretrain] step   400/500 | loss 14.7699 (chance=10.413) | std=1.00 | 100.3s
  [noise-pretrain] step   500/500 | loss 12.8712 (chance=10.413) | std=1.00 | 125.8s
  done.

======================================================================
Phase 1: Baseline (standard cross-entropy)
======================================================================
[     baseline] step     1 | tr_full 13.0219 | tr_mis 13.0287 | val_ce 12.3551 | ppl 232136.37 | acc 0.0449 | ece 0.0440 | H 9.942 | miss 0.999
[     baseline] step   250 | tr_full  7.4829 | tr_mis  8.1069 | val_ce 6.9459 | ppl 1038.86 | acc 0.1211 | ece 0.0140 | H 6.701 | miss 0.896
[     baseline] step   500 | tr_full  6.9408 | tr_mis  7.6250 | val_ce 6.6433 | ppl 767.66 | acc 0.1363 | ece 0.0158 | H 6.519 | miss 0.880
[     baseline] step   750 | tr_full  6.7779 | tr_mis  7.5453 | val_ce 6.5051 | ppl 668.56 | acc 0.1534 | ece 0.0114 | H 6.374 | miss 0.866
[     baseline] step  1000 | tr_full  6.6813 | tr_mis  7.5120 | val_ce 6.4239 | ppl 616.41 | acc 0.1638 | ece 0.0135 | H 6.286 | miss 0.856
[     baseline] step  1250 | tr_full  6.6195 | tr_mis  7.5068 | val_ce 6.3706 | ppl 584.42 | acc 0.1699 | ece 0.0120 | H 6.115 | miss 0.848
[     baseline] step  1500 | tr_full  6.5556 | tr_mis  7.4939 | val_ce 6.3075 | ppl 548.69 | acc 0.1776 | ece 0.0107 | H 6.072 | miss 0.840
[     baseline] step  1750 | tr_full  6.4945 | tr_mis  7.4623 | val_ce 6.2669 | ppl 526.83 | acc 0.1809 | ece 0.0181 | H 5.969 | miss 0.835
[     baseline] step  2000 | tr_full  6.4477 | tr_mis  7.4483 | val_ce 6.2136 | ppl 499.52 | acc 0.1868 | ece 0.0135 | H 5.974 | miss 0.831
[     baseline] step  2250 | tr_full  6.3985 | tr_mis  7.4335 | val_ce 6.1767 | ppl 481.41 | acc 0.1896 | ece 0.0135 | H 6.111 | miss 0.826
[     baseline] step  2500 | tr_full  6.3645 | tr_mis  7.4159 | val_ce 6.1464 | ppl 467.03 | acc 0.1923 | ece 0.0141 | H 5.927 | miss 0.823
[     baseline] step  2750 | tr_full  6.3148 | tr_mis  7.3857 | val_ce 6.1077 | ppl 449.31 | acc 0.1963 | ece 0.0138 | H 5.941 | miss 0.819
[     baseline] step  3000 | tr_full  6.2746 | tr_mis  7.3678 | val_ce 6.0756 | ppl 435.10 | acc 0.1982 | ece 0.0178 | H 5.867 | miss 0.816
[     baseline] step  3250 | tr_full  6.2285 | tr_mis  7.3456 | val_ce 6.0493 | ppl 423.83 | acc 0.2000 | ece 0.0196 | H 5.812 | miss 0.812
[     baseline] step  3500 | tr_full  6.1952 | tr_mis  7.3284 | val_ce 5.9984 | ppl 402.78 | acc 0.2038 | ece 0.0124 | H 5.827 | miss 0.809
[     baseline] step  3750 | tr_full  6.1539 | tr_mis  7.2972 | val_ce 5.9738 | ppl 393.00 | acc 0.2056 | ece 0.0142 | H 5.792 | miss 0.807
[     baseline] step  4000 | tr_full  6.1182 | tr_mis  7.2805 | val_ce 5.9444 | ppl 381.62 | acc 0.2072 | ece 0.0188 | H 5.768 | miss 0.804
[     baseline] step  4250 | tr_full  6.0755 | tr_mis  7.2475 | val_ce 5.9137 | ppl 370.08 | acc 0.2093 | ece 0.0129 | H 5.653 | miss 0.801
[     baseline] step  4500 | tr_full  6.0371 | tr_mis  7.2342 | val_ce 5.8903 | ppl 361.51 | acc 0.2105 | ece 0.0286 | H 5.561 | miss 0.798
[     baseline] step  4750 | tr_full  5.9959 | tr_mis  7.1996 | val_ce 5.8490 | ppl 346.87 | acc 0.2126 | ece 0.0217 | H 5.588 | miss 0.796
[     baseline] step  5000 | tr_full  5.9559 | tr_mis  7.1763 | val_ce 5.8241 | ppl 338.35 | acc 0.2125 | ece 0.0174 | H 5.619 | miss 0.793
[     baseline] step  5250 | tr_full  5.9103 | tr_mis  7.1284 | val_ce 5.7881 | ppl 326.41 | acc 0.2147 | ece 0.0175 | H 5.557 | miss 0.792
[     baseline] step  5500 | tr_full  5.8699 | tr_mis  7.0962 | val_ce 5.7544 | ppl 315.58 | acc 0.2172 | ece 0.0146 | H 5.486 | miss 0.789
[     baseline] step  5750 | tr_full  5.8338 | tr_mis  7.0747 | val_ce 5.7354 | ppl 309.63 | acc 0.2182 | ece 0.0179 | H 5.590 | miss 0.787
[     baseline] step  6000 | tr_full  5.8038 | tr_mis  7.0343 | val_ce 5.7126 | ppl 302.65 | acc 0.2188 | ece 0.0262 | H 5.358 | miss 0.787
[     baseline] step  6250 | tr_full  5.7510 | tr_mis  6.9971 | val_ce 5.6744 | ppl 291.33 | acc 0.2215 | ece 0.0228 | H 5.407 | miss 0.783
[     baseline] step  6500 | tr_full  5.7277 | tr_mis  6.9801 | val_ce 5.6528 | ppl 285.08 | acc 0.2216 | ece 0.0283 | H 5.302 | miss 0.782
[     baseline] step  6750 | tr_full  5.6747 | tr_mis  6.9410 | val_ce 5.6207 | ppl 276.09 | acc 0.2237 | ece 0.0191 | H 5.345 | miss 0.779
[     baseline] step  7000 | tr_full  5.6423 | tr_mis  6.9052 | val_ce 5.5981 | ppl 269.91 | acc 0.2241 | ece 0.0225 | H 5.321 | miss 0.778
[     baseline] step  7250 | tr_full  5.6020 | tr_mis  6.8760 | val_ce 5.5533 | ppl 258.10 | acc 0.2275 | ece 0.0268 | H 5.237 | miss 0.775
[     baseline] step  7500 | tr_full  5.5606 | tr_mis  6.8373 | val_ce 5.5377 | ppl 254.10 | acc 0.2273 | ece 0.0272 | H 5.222 | miss 0.774
[     baseline] step  7750 | tr_full  5.5265 | tr_mis  6.8048 | val_ce 5.5135 | ppl 248.01 | acc 0.2282 | ece 0.0208 | H 5.321 | miss 0.772
[     baseline] step  8000 | tr_full  5.4829 | tr_mis  6.7664 | val_ce 5.4893 | ppl 242.08 | acc 0.2302 | ece 0.0243 | H 5.187 | miss 0.770
[     baseline] step  8250 | tr_full  5.4540 | tr_mis  6.7353 | val_ce 5.4646 | ppl 236.18 | acc 0.2302 | ece 0.0285 | H 5.167 | miss 0.769
[     baseline] step  8500 | tr_full  5.4089 | tr_mis  6.7002 | val_ce 5.4363 | ppl 229.58 | acc 0.2320 | ece 0.0271 | H 5.184 | miss 0.767
[     baseline] step  8750 | tr_full  5.3719 | tr_mis  6.6620 | val_ce 5.4209 | ppl 226.09 | acc 0.2311 | ece 0.0260 | H 5.172 | miss 0.766
[     baseline] step  9000 | tr_full  5.3391 | tr_mis  6.6308 | val_ce 5.4025 | ppl 221.96 | acc 0.2328 | ece 0.0254 | H 5.205 | miss 0.764
[     baseline] step  9250 | tr_full  5.3166 | tr_mis  6.6082 | val_ce 5.3684 | ppl 214.53 | acc 0.2338 | ece 0.0256 | H 5.170 | miss 0.763
